"COD. IBGE";"UF";"NOME DA CIDADE"
2305902;"CE";"IPUEIRAS"
2306009;"CE";"IRACEMA"
2306108;"CE";"IRAUCUBA"
2306207;"CE";"ITAICABA"
2306256;"CE";"ITAITINGA"
2306306;"CE";"ITAPAGE"
2306405;"CE";"ITAPIPOCA"
2306504;"CE";"ITAPIUNA"
2306553;"CE";"ITAREMA"
2306603;"CE";"ITATIRA"
2306702;"CE";"JAGUARETAMA"
2306801;"CE";"JAGUARIBARA"
2306900;"CE";"JAGUARIBE"
2307007;"CE";"JAGUARUANA"
2307106;"CE";"JARDIM"
2307205;"CE";"JATI"
2307254;"CE";"JIJOCA DE JERICOACOARA"
2307304;"CE";"JUAZEIRO DO NORTE"
2307403;"CE";"JUCAS"
2307502;"CE";"LAVRAS DA MANGABEIRA"
2307601;"CE";"LIMOEIRO DO NORTE"
2307635;"CE";"MADALENA"
2307650;"CE";"MARACANAU"
2307700;"CE";"MARANGUAPE"
2307809;"CE";"MARCO"
2307908;"CE";"MARTINOPOLE"
2308005;"CE";"MASSAPE"
2308104;"CE";"MAURITI"
2308203;"CE";"MERUOCA"
2308302;"CE";"MILAGRES"
2308351;"CE";"MILHA"
2308377;"CE";"MIRAIMA"
2308401;"CE";"MISSAO VELHA"
2308500;"CE";"MOMBACA"
2308609;"CE";"MONSENHOR TABOSA"
2308708;"CE";"MORADA NOVA"
2308807;"CE";"MORAUJO"
2308906;"CE";"MORRINHOS"
2309003;"CE";"MUCAMBO"
2309102;"CE";"MULUNGU"
2309201;"CE";"NOVA OLINDA"
2309300;"CE";"NOVA RUSSAS"
2309409;"CE";"NOVO ORIENTE"
2309458;"CE";"OCARA"
2309508;"CE";"OROS"
2309607;"CE";"PACAJUS"
2309706;"CE";"PACATUBA"
2309805;"CE";"PACOTI"
2309904;"CE";"PACUJA"
2310001;"CE";"PALHANO"
2310100;"CE";"PALMACIA"
2310209;"CE";"PARACURU"
2310258;"CE";"PARAIPABA"
2310308;"CE";"PARAMBU"
2310407;"CE";"PARAMOTI"
2310506;"CE";"PEDRA BRANCA"
2310605;"CE";"PENA FORTE"
2310704;"CE";"PENTECOSTE"
2310803;"CE";"PEREIRO"
2310852;"CE";"PINDORETAMA"
2310902;"CE";"PIQUET CARNEIRO"
2310951;"CE";"PIRES FERREIRA"
2311009;"CE";"PORANGA"
2311108;"CE";"PORTEIRAS"
2311207;"CE";"POTENGI"
2311231;"CE";"POTIRETAMA"
2311264;"CE";"QUITERIANOPOLIS"
2311306;"CE";"QUIXADA"
2311355;"CE";"QUIXELO"
2311405;"CE";"QUIXERAMOBIM"
2311504;"CE";"QUIXERE"
2311603;"CE";"REDENCAO"
2311702;"CE";"RERIUTABA"
2311801;"CE";"RUSSAS"
2311900;"CE";"SABOEIRO"
2311959;"CE";"SALITRE"
2312007;"CE";"SANTANA DO ACARAU"
2312106;"CE";"SANTANA DO CARIRI"
2312205;"CE";"SANTA QUITERIA"
2312304;"CE";"SAO BENEDIT"
2312403;"CE";"SAO GONCALO DO AMARANTE"
2312502;"CE";"SAO JOAO DO JAGUARIBE"
2312601;"CE";"SAO LUIZ DO CURU"
2312700;"CE";"SENADOR POMPEU"
2312809;"CE";"SENADOR SA"
2312908;"CE";"SOBRAL"
2313005;"CE";"SOLONOPOLE"
2313104;"CE";"TABULEIRO DO NORTE"
2313203;"CE";"TAMBORIL"
2313252;"CE";"TARRAFAS"
2313302;"CE";"TAUA"
2313351;"CE";"TEJUCUOCA"
2313401;"CE";"TIANGUA"
2313500;"CE";"TRAIRI"
2313559;"CE";"TURURU"
2313609;"CE";"UBAJARA"
2313708;"CE";"UMARI"
2313757;"CE";"UMIRIM"
2313807;"CE";"URUBURETAMA"
2313906;"CE";"URUOCA"
2313955;"CE";"VARJOTA"
2314003;"CE";"VARZEA ALEGRE"
2314102;"CE";"VICOSA DO CEARA"
5300108;"DF";"BRASILIA"
3200102;"ES";"AFONSO CLAUDIO"
3200169;"ES";"AGUA DOCE DO NORTE"
3200136;"ES";"AGUIA BRANCA"
3200201;"ES";"ALEGRE"
3200300;"ES";"ALFREDO CHAVES"
3200359;"ES";"ALTO RIO NOVO"
3200409;"ES";"ANCHIETA"
3200508;"ES";"APIACA"
3200607;"ES";"ARACRUZ"
3200706;"ES";"ATILIO VIVACQUA"
3200805;"ES";"BAIXO GUANDU"
3200904;"ES";"BARRA DE SAO FRANCISCO"
3201001;"ES";"BOA ESPERANCA"
3201100;"ES";"BOM JESUS DO NORTE"
3201159;"ES";"BREJETUBA"
3201209;"ES";"CACHOEIRO DE ITAPEMIRIM"
3201308;"ES";"CARIACICA"
3201407;"ES";"CASTELO"
3201506;"ES";"COLATINA"
3201605;"ES";"CONCEICAO DA BARRA"
3201704;"ES";"CONCEICAO DO CASTELO"
3201803;"ES";"DIVINO DE SAO LOURENCO"
3201902;"ES";"DOMINGOS MARTINS"
3202009;"ES";"DORES DO RIO PRETO"
3202108;"ES";"ECOPORANGA"
3202207;"ES";"FUNDAO"
3202256;"ES";"GOVERNADOR LINDENBERG"
3202306;"ES";"GUACUI"
3202405;"ES";"GUARAPARI"
3202454;"ES";"IBATIBA"
3202504;"ES";"IBIRACU"
3202553;"ES";"IBITIRAMA"
3202603;"ES";"ICONHA"
3202652;"ES";"IRUPI"
3202702;"ES";"ITAGUACU"
3202801;"ES";"ITAPEMIRIM"
3202900;"ES";"ITARANA"
3203007;"ES";"IUNA"
3203056;"ES";"JAGUARE"
3203106;"ES";"JERONIMO MONTEIRO"
3203130;"ES";"JOAO NEIVA"
3203163;"ES";"LARANJA DA TERRA"
3203205;"ES";"LINHARES"
3203304;"ES";"MANTENOPOLIS"
3203320;"ES";"MARATAIZES"
3203346;"ES";"MARECHAL FLORIANO"
3203353;"ES";"MARILANDIA"
3203403;"ES";"MIMOSO DO SUL"
3203502;"ES";"MONTANHA"
3203601;"ES";"MUCURICI"
3203700;"ES";"MUNIZ FREIRE"
3203809;"ES";"MUQUI"
3203908;"ES";"NOVA VENECIA"
3204005;"ES";"PANCAS"
3204054;"ES";"PEDRO CANARIO"
3204104;"ES";"PINHEIROS"
3204203;"ES";"PIUMA"
3204252;"ES";"PONTO BELO"
3204302;"ES";"PRESIDENTE KENNEDY"
3204351;"ES";"RIO BANANAL"
3204401;"ES";"RIO NOVO DO SUL"
3204500;"ES";"SANTA LEOPOLDINA"
3204559;"ES";"SANTA MARIA DE JETIBA"
3204609;"ES";"SANTA TERESA"
3204658;"ES";"SAO DOMINGOS DO NORTE"
3204708;"ES";"SAO GABRIEL DA PALHA"
3204807;"ES";"SAO JOSE DO CALCADO"
3204906;"ES";"SAO MATEUS"
3204955;"ES";"SAO ROQUE DO CANAA"
3205002;"ES";"SERRA"
3205010;"ES";"SOORETAMA"
3205036;"ES";"VARGEM ALTA"
3205069;"ES";"VENDA NOVA DO IMIGRANTE"
3205101;"ES";"VIANA"
3205150;"ES";"VILA PAVAO"
3205176;"ES";"VILA VALERIO"
3205200;"ES";"VILA VELHA"
3205309;"ES";"VITORIA"
5200050;"GO";"ABADIA DE GOIAS"
5200100;"GO";"ABADIANIA"
5200134;"GO";"ACREUNA"
5200159;"GO";"ADELANDIA"
5200175;"GO";"AGUA FRIA DE GOIAS"
5200209;"GO";"AGUA LIMPA"
5200258;"GO";"AGUAS LINDAS DE GOIAS"
5200308;"GO";"ALEXANIA"
5200506;"GO";"ALOANDIA"
5200555;"GO";"ALTO HORIZONTE"
5200605;"GO";"ALTO PARAISO DE GOIAS"
5200803;"GO";"ALVORADA DO NORTE"
5200829;"GO";"AMARALINA"
5200852;"GO";"AMERICANO DO BRASIL"
5200902;"GO";"AMORINOPOLIS"
5201108;"GO";"ANAPOLIS"
5201207;"GO";"ANHANGUERA"
5201306;"GO";"ANICUNS"
5201405;"GO";"APARECIDA DE GOIANIA"
5201454;"GO";"APARECIDA DO RIO DOCE"
5201504;"GO";"APORE"
5201603;"GO";"ARACU"
5201702;"GO";"ARAGARCAS"
5201801;"GO";"ARAGOIANIA"
5202155;"GO";"ARAGUAPAZ"
5202353;"GO";"ARENOPOLIS"
5202502;"GO";"ARUANA"
5202601;"GO";"AURILANDIA"
5202809;"GO";"AVELINOPOLIS"
5203104;"GO";"BALIZA"
5203203;"GO";"BARRO ALTO"
5203302;"GO";"BELA VISTA DE GOIAS"
5203401;"GO";"BOM JARDIM DE GOIAS"
5203500;"GO";"BOM JESUS DE GOIAS"
5203559;"GO";"BONFINOPOLIS"
5203575;"GO";"BONOPOLIS"
5203609;"GO";"BRAZABRANTES"
5203807;"GO";"BRITANIA"
5203906;"GO";"BURITI ALEGRE"
5203939;"GO";"BURITI DE GOIAS"
5203962;"GO";"BURITINOPOLIS"
5204003;"GO";"CABECEIRAS"
5204102;"GO";"CACHOEIRA ALTA"
5204201;"GO";"CACHOEIRA DE GOIAS"
5204250;"GO";"CACHOEIRA DOURADA"
5204300;"GO";"CACU"
5204409;"GO";"CAIAPONIA"
5204508;"GO";"CALDAS NOVAS"
5204557;"GO";"CALDAZINHA"
5204607;"GO";"CAMPESTRE DE GOIAS"
5204656;"GO";"CAMPINACU"
5204706;"GO";"CAMPINORTE"
5204805;"GO";"CAMPO ALEGRE DE GOIAS"
5204854;"GO";"CAMPO LIMPO DE GOIAS"
5204904;"GO";"CAMPOS BELOS"
5204953;"GO";"CAMPOS VERDES"
5205000;"GO";"CARMO DO RIO VERDE"
5205059;"GO";"CASTELANDIA"
5205109;"GO";"CATALAO"
5205208;"GO";"CATURAI"
5205307;"GO";"CAVALCANTE"
5205406;"GO";"CERES"
5205455;"GO";"CEZARINA"
5205471;"GO";"CHAPADAO DO CEU"
5205497;"GO";"CIDADE OCIDENTAL"
5205513;"GO";"COCALZINHO DE GOIAS"
5205521;"GO";"COLINAS DO SUL"
5205703;"GO";"CORREGO DO OURO"
5205802;"GO";"CORUMBA DE GOIAS"
5205901;"GO";"CORUMBAIBA"
5206206;"GO";"CRISTALINA"
5206305;"GO";"CRISTIANOPOLIS"
5206404;"GO";"CRIXAS"
5206503;"GO";"CROMINIA"
5206602;"GO";"CUMARI"
5206701;"GO";"DAMIANOPOLIS"
5206800;"GO";"DAMOLANDIA"
5206909;"GO";"DAVINOPOLIS"
5207105;"GO";"DIORAMA"
5207253;"GO";"DOVERLANDIA"
5207352;"GO";"EDEALINA"
5207402;"GO";"EDEIA"
5207501;"GO";"ESTRELA DO NORTE"
5207535;"GO";"FAINA"
5207600;"GO";"FAZENDA NOVA"
5207808;"GO";"FIRMINOPOLIS"
5207907;"GO";"FLORES DE GOIAS"
5208004;"GO";"FORMOSA"
5208103;"GO";"FORMOSO"
5208301;"GO";"DIVINOPOLIS DE GOIAS"
5208152;"GO";"GAMELEIRA DE GOIAS"
5208400;"GO";"GOIANAPOLIS"
5208509;"GO";"GOIANDIRA"
5208608;"GO";"GOIANESIA"
5208707;"GO";"GOIANIA"
5208806;"GO";"GOIANIRA"
5208905;"GO";"GOIAS"
5209101;"GO";"GOIATUBA"
5209150;"GO";"GOUVELANDIA"
5209200;"GO";"GUAPO"
5209291;"GO";"GUARAITA"
5209408;"GO";"GUARANI DE GOIAS"
5209457;"GO";"GUARINOS"
5209606;"GO";"HEITORAI"
5209705;"GO";"HIDROLANDIA"
5209804;"GO";"HIDROLINA"
5209903;"GO";"IACIARA"
5209937;"GO";"INACIOLANDIA"
5209952;"GO";"INDIARA"
5210000;"GO";"INHUMAS"
5210109;"GO";"IPAMERI"
5210158;"GO";"IPIRANGA DE GOIAS"
5210208;"GO";"IPORA"
5210307;"GO";"ISRAELANDIA"
5210406;"GO";"ITABERAI"
5210562;"GO";"ITAGUARI"
5210604;"GO";"ITAGUARU"
5210802;"GO";"ITAJA"
5210901;"GO";"ITAPACI"
5211008;"GO";"ITAPIRAPUA"
5211206;"GO";"ITAPURANGA"
5211305;"GO";"ITARUMA"
5211404;"GO";"ITAUCU"
5211503;"GO";"ITUMBIARA"
5211602;"GO";"IVOLANDIA"
5211701;"GO";"JANDAIA"
5211800;"GO";"JARAGUA"
5211909;"GO";"JATAI"
5212006;"GO";"JAUPACI"
5212055;"GO";"JESUPOLIS"
5212105;"GO";"JOVIANIA"
5212204;"GO";"JUSSARA"
5212253;"GO";"LAGOA SANTA"
5212303;"GO";"LEOPOLDO DE BULHOES"
5212501;"GO";"LUZIANIA"
5212600;"GO";"MAIRIPOTABA"
5212709;"GO";"MAMBAI"
5212808;"GO";"MARA ROSA"
5212907;"GO";"MARZAGAO"
5212956;"GO";"MATRINCHA"
5213004;"GO";"MAURILANDIA"
5213053;"GO";"MIMOSO DE GOIAS"
5213087;"GO";"MINAÇUL"
5213103;"GO";"MINEIROS"
5213400;"GO";"MOIPORA"
5213509;"GO";"MONTE ALEGRE DE GOIAS"
5213707;"GO";"MONTES CLAROS DE GOIAS"
5213756;"GO";"MONTIVIDIU"
5213772;"GO";"MONTIVIDIU DO NORTE"
5213806;"GO";"MORRINHOS"
5213855;"GO";"MORRO AGUDO DE GOIAS"
5213905;"GO";"MOSSAMEDES"
5214002;"GO";"MOZARLANDIA"
5214051;"GO";"MUNDO NOVO"
5214101;"GO";"MUTUNOPOLIS"
5214408;"GO";"NAZARIO"
5214507;"GO";"NEROPOLIS"
5214606;"GO";"NIQUELANDIA"
5214705;"GO";"NOVA AMERICA"
5214804;"GO";"NOVA AURORA"
5214838;"GO";"NOVA CRIXAS"
5214861;"GO";"NOVA GLORIA"
5214879;"GO";"NOVA IGUACU DE GOIAS"
5214903;"GO";"NOVA ROMA"
5215009;"GO";"NOVA VENEZA"
5215207;"GO";"NOVO BRASIL"
5215231;"GO";"NOVO GAMA"
5215256;"GO";"NOVO PLANALTO"
5215306;"GO";"ORIZONA"
5215405;"GO";"OURO VERDE DE GOIAS"
5215504;"GO";"OUVIDOR"
5215603;"GO";"PADRE BERNARDO"
5215652;"GO";"PALESTINA DE GOIAS"
5215702;"GO";"PALMEIRAS DE GOIAS"
5215801;"GO";"PALMELO"
5215900;"GO";"PALMINOPOLIS"
5216007;"GO";"PANAMA"
5216304;"GO";"PARANAIGUARA"
5216403;"GO";"PARAUNA"
5216452;"GO";"PEROLANDIA"
5216809;"GO";"PETROLINA DE GOIAS"
5216908;"GO";"PILAR DE GOIAS"
5217104;"GO";"PIRACANJUBA"
5217203;"GO";"PIRANHAS"
5217302;"GO";"PIRENOPOLIS"
5217401;"GO";"PIRES DO RIO"
5217609;"GO";"PLANALTINA"
5217708;"GO";"PONTALINA"
5218003;"GO";"PORANGATU"
5218052;"GO";"PORTEIRAO"
5218102;"GO";"PORTELANDIA"
5218300;"GO";"POSSE"
5218391;"GO";"PROFESSOR JAMIL"
5218508;"GO";"QUIRINOPOLIS"
5218607;"GO";"RIALMA"
5218706;"GO";"RIANAPOLIS"
5218789;"GO";"RIO QUENTE"
5218805;"GO";"RIO VERDE"
5218904;"GO";"RUBIATABA"
5219001;"GO";"SANCLERLANDIA"
5219100;"GO";"SANTA BARBARA DE GOIAS"
5219209;"GO";"SANTA CRUZ DE GOIAS"
5219258;"GO";"SANTA FE DE GOIAS"
5219308;"GO";"SANTA HELENA DE GOIAS"
5219357;"GO";"SANTA ISABEL"
5219407;"GO";"SANTA RITA DO ARAGUAIA"
5219456;"GO";"SANTA RITA DO NOVO DESTINO"
5219506;"GO";"SANTA ROSA DE GOIAS"
5219605;"GO";"SANTA TEREZA DE GOIAS"
5219704;"GO";"SANTA TEREZINHA DE GOIAS"
5219712;"GO";"SANTO ANTONIO DA BARRA"
5219738;"GO";"SANTO ANTONIO DE GOIAS"
5219753;"GO";"SANTO ANTONIO DO DESCOBERTO"
5219803;"GO";"SAO DOMINGOS"
5219902;"GO";"SAO FRANCISCO DE GOIAS"
5220009;"GO";"SAO JOAO D ALIANCA"
5220058;"GO";"SAO JOAO DA PARAUNA"
5220108;"GO";"SAO LUIS DE MONTES BELOS"
5220157;"GO";"SAO LUIZ DO NORTE"
5220207;"GO";"SAO MIGUEL DO ARAGUAIA"
5220264;"GO";"SAO MIGUEL DO PASSA QUATRO"
5220280;"GO";"SAO PATRICIO"
5220405;"GO";"SAO SIMAO"
5220454;"GO";"SENADOR CANEDO"
5220504;"GO";"SERRANOPOLIS"
5220603;"GO";"SILVANIA"
5220686;"GO";"SIMOLANDIA"
5220702;"GO";"SITIO D ABADIA"
5221007;"GO";"TAQUARAL DE GOIAS"
5221080;"GO";"TERESINA DE GOIAS"
5221197;"GO";"TEREZOPOLIS DE GOIAS"
5221304;"GO";"TRES RANCHOS"
5221403;"GO";"TRINDADE"
5221452;"GO";"TROMBAS"
5221502;"GO";"TURVANIA"
5221551;"GO";"TURVELANDIA"
5221577;"GO";"UIRAPURU"
5221601;"GO";"URUACU"
5221700;"GO";"URUANA"
5221809;"GO";"URUTAI"
5221858;"GO";"VALPARAISO DE GOIAS"
5221908;"GO";"VARJAO"
5222005;"GO";"VIANOPOLIS"
5222054;"GO";"VICENTINOPOLIS"
5222203;"GO";"VILA BOA"
5222302;"GO";"VILA PROPICIO"
2100055;"MA";"ACAILANDIA"
2100105;"MA";"AFONSO CUNHA"
2100154;"MA";"AGUA DOCE DO MARANHAO"
2100204;"MA";"ALCANTARA"
2100303;"MA";"ALDEIAS ALTAS"
2100402;"MA";"ALTAMIRA DO MARANHAO"
2100436;"MA";"ALTO ALEGRE DO MARANHAO"
2100477;"MA";"ALTO ALEGRE DO PINDARE"
2100501;"MA";"ALTO PARNAIBA"
2100550;"MA";"AMAPA DO MARANHAO"
2100600;"MA";"AMARANTE DO MARANHAO"
2100709;"MA";"ANAJATUBA"
2100808;"MA";"ANAPURUS"
2100832;"MA";"APICUM-ACU"
2100873;"MA";"ARAGUANA"
2100907;"MA";"ARAIOSES"
2100956;"MA";"ARAME"
2101004;"MA";"ARARI"
2101103;"MA";"AXIXA"
2101202;"MA";"BACABAL"
2101251;"MA";"BACABEIRA"
2101301;"MA";"BACURI"
2101350;"MA";"BACURITUBA"
2101400;"MA";"BALSAS"
2101509;"MA";"BARAO DE GRAJAU"
2101608;"MA";"BARRA DO CORDA"
2101707;"MA";"BARREIRINHAS"
2101731;"MA";"BELAGUA"
2101772;"MA";"BELA VISTA DO MARANHAO"
2101806;"MA";"BENEDITO LEITE"
2101905;"MA";"BEQUIMAO"
2101939;"MA";"BERNARDO DO MEARIM"
2101970;"MA";"BOA VISTA DO GURUPI"
2102002;"MA";"BOM JARDIM"
2102036;"MA";"BOM JESUS DAS SELVAS"
2102077;"MA";"BOM LUGAR"
2102101;"MA";"BREJO"
2102150;"MA";"BREJO DE AREIA"
2102200;"MA";"BURITI"
2102309;"MA";"BURITI BRAVO"
2102325;"MA";"BURITICUPU"
2102358;"MA";"BURITIRANA"
2102374;"MA";"CACHOEIRA GRANDE"
2102408;"MA";"CAJAPIO"
2102507;"MA";"CAJARI"
2102556;"MA";"CAMPESTRE DO MARANHAO"
2102606;"MA";"CANDIDO MENDES"
2102705;"MA";"CANTANHEDE"
2102754;"MA";"CAPINZAL DO NORTE"
2102804;"MA";"CAROLINA"
2102903;"MA";"CARUTAPERA"
2103000;"MA";"CAXIAS"
2103109;"MA";"CEDRAL"
2103125;"MA";"CENTRAL DO MARANHAO"
2103158;"MA";"CENTRO DO GUILHERME"
2103174;"MA";"CENTRO NOVO DO MARANHAO"
2103208;"MA";"CHAPADINHA"
2103257;"MA";"CIDELANDIA"
2103307;"MA";"CODO"
2103406;"MA";"COELHO NETO"
2103505;"MA";"COLINAS"
2103554;"MA";"CONCEICAO DO LAGO-ACU"
2103604;"MA";"COROATA"
2103703;"MA";"CURURUPU"
2103752;"MA";"DAVINOPOLIS"
2103802;"MA";"DOM PEDRO"
2103901;"MA";"DUQUE BACELAR"
2104008;"MA";"ESPERANTINOPOLIS"
2104057;"MA";"ESTREITO"
2104073;"MA";"FEIRA NOVA DO MARANHAO"
2104081;"MA";"FERNANDO FALCAO"
2104099;"MA";"FORMOSA DA SERRA NEGRA"
2104107;"MA";"FORTALEZA DOS NOGUEIRAS"
2104206;"MA";"FORTUNA"
2104305;"MA";"GODOFREDO VIANA"
2104404;"MA";"GONCALVES DIAS"
2104503;"MA";"GOVERNADOR ARCHER"
2104552;"MA";"GOVERNADOR EDISON LOBAO"
2104602;"MA";"GOVERNADOR EUGENIO BARROS"
2104628;"MA";"GOVERNADOR LUIS ROCHA"
2104651;"MA";"GOVERNADOR NEWTON BELLO"
2104677;"MA";"GOVERNADOR NUNES FREIRE"
2104701;"MA";"GRACA ARANHA"
2104800;"MA";"GRAJAU"
2104909;"MA";"GUIMARAES"
2105005;"MA";"HUMBERTO DE CAMPOS"
2105104;"MA";"ICATU"
2105153;"MA";"IGARAPE DO MEIO"
2105203;"MA";"IGARAPE GRANDE"
2105302;"MA";"IMPERATRIZ"
2105351;"MA";"ITAIPAVA DO GRAJAU"
2105401;"MA";"ITAPECURU MIRIM"
2105427;"MA";"ITINGA DO MARANHAO"
2105450;"MA";"JATOBA"
2105476;"MA";"JENIPAPO DOS VIEIRAS"
2105500;"MA";"JOAO LISBOA"
2105609;"MA";"JOSELANDIA"
2105658;"MA";"JUNCO DO MARANHAO"
2105922;"MA";"LAGOA DO MATO"
2105963;"MA";"LAGOA GRANDE DO MARANHAO"
2105708;"MA";"LAGO DA PEDRA"
2105807;"MA";"LAGO DO JUNCO"
2105948;"MA";"LAGO DOS RODRIGUES"
2105906;"MA";"LAGO VERDE"
2105989;"MA";"LAJEADO NOVO"
2106003;"MA";"LIMA CAMPOS"
2106102;"MA";"LORETO"
2106201;"MA";"LUIS DOMINGUES"
2106300;"MA";"MAGALHAES DE ALMEIDA"
2106326;"MA";"MARACACUME"
2106359;"MA";"MARAJA DO SENA"
2106375;"MA";"MARANHAOZINHO"
2106409;"MA";"MATA ROMA"
2106508;"MA";"MATINHA"
2106607;"MA";"MATOES"
2106631;"MA";"MATOES DO NORTE"
2106672;"MA";"MILAGRES DO MARANHAO"
2106706;"MA";"MIRADOR"
2106755;"MA";"MIRANDA DO NORTE"
2106805;"MA";"MIRINZAL"
2106904;"MA";"MONCAO"
2107001;"MA";"MONTES ALTOS"
2107100;"MA";"MORROS"
2107209;"MA";"NINA RODRIGUES"
2107258;"MA";"NOVA COLINAS"
2107308;"MA";"NOVA IORQUE"
2107357;"MA";"NOVA OLINDA DO MARANHAO"
2107407;"MA";"OLHO D AGUA DAS CUNHAS"
2107456;"MA";"OLINDA NOVA DO MARANHAO"
2107506;"MA";"PACO DO LUMIAR"
2107605;"MA";"PALMEIRANDIA"
2107704;"MA";"PARAIBANO"
2107803;"MA";"PARNARAMA"
2107902;"MA";"PASSAGEM FRANCA"
2108009;"MA";"PASTOS BONS"
2108058;"MA";"PAULINO NEVES"
2108108;"MA";"PAULO RAMOS"
2108207;"MA";"PEDREIRAS"
2108256;"MA";"PEDRO DO ROSARIO"
2108306;"MA";"PENALVA"
2108405;"MA";"PERI MIRIM"
2108454;"MA";"PERITORO"
2108504;"MA";"PINDARE-MIRIM"
2108603;"MA";"PINHEIRO"
2108702;"MA";"PIO XII"
2108801;"MA";"PIRAPEMAS"
2108900;"MA";"POCAO DE PEDRAS"
2109007;"MA";"PORTO FRANCO"
2109056;"MA";"PORTO RICO DO MARANHAO"
2109106;"MA";"PRESIDENTE DUTRA"
2109205;"MA";"PRESIDENTE JUSCELINO"
2109239;"MA";"PRESIDENTE MEDICE"
2109270;"MA";"PRESIDENTE SARNEY"
2109304;"MA";"PRESIDENTE VARGAS"
2109403;"MA";"PRIMEIRA CRUZ"
2109452;"MA";"RAPOSA"
2109502;"MA";"RIACHAO"
2109551;"MA";"RIBAMAR FIQUENE"
2109601;"MA";"ROSARIO"
2109700;"MA";"SAMBAIBA"
2109759;"MA";"SANTA FILOMENA DO MARANHAO"
2109809;"MA";"SANTA HELENA"
2109908;"MA";"SANTA INES"
2110005;"MA";"SANTA LUZIA"
2110039;"MA";"SANTA LUZIA DO PARUA"
2110237;"MA";"SANTANA DO MARANHAO"
2110104;"MA";"SANTA QUITERIA DO MARANHAO"
2110203;"MA";"SANTA RITA"
2110278;"MA";"SANTO AMARO DO MARANHAO"
2110302;"MA";"SANTO ANTONIO DOS LOPES"
2110401;"MA";"SAO BENEDITO DO RIO PRETO"
2110500;"MA";"SAO BENTO"
2110609;"MA";"SAO BERNARDO"
2110658;"MA";"SAO DOMINGOS DO AZEITAO"
2110708;"MA";"SAO DOMINGOS DO MARANHAO"
2110807;"MA";"SAO FELIX DE BALSAS"
2110856;"MA";"SAO FRANCISCO DO BREJAO"
2110906;"MA";"SAO FRANCISCO DO MARANHAO"
2111003;"MA";"SAO JOAO BATISTA"
2111029;"MA";"SAO JOAO DO CARU"
2111052;"MA";"SAO JOAO DO PARAISO"
2111078;"MA";"SAO JOAO DO SOTER"
2111102;"MA";"SAO JOAO DOS PATOS"
2111201;"MA";"SAO JOSE DE RIBAMAR"
2111250;"MA";"SAO JOSE DOS BASILIOS"
2111300;"MA";"SAO LUIS"
2111409;"MA";"SAO LUIS GONZAGA DO MARANHAO"
2111508;"MA";"SAO MATEUS DO MARANHAO"
2111532;"MA";"SAO PEDRO DA AGUA BRANCA"
2111573;"MA";"SAO PEDRO DOS CRENTES"
2111607;"MA";"SAO RAIMUNDO DAS MANGABEIRAS"
2111631;"MA";"SAO RAIMUNDO DO DOCA BEZERRA"
2111672;"MA";"SAO ROBERTO"
2111706;"MA";"SAO VICENTE FERRER"
2111722;"MA";"SATUBINHA"
2111748;"MA";"SENADOR ALEXANDRE COSTA"
2111763;"MA";"SENADOR LA ROCQUE"
2111789;"MA";"SERRANO DO MARANHAO"
2111805;"MA";"SITIO NOVO"
2111904;"MA";"SUCUPIRA DO NORTE"
2111953;"MA";"SUCUPIRA DO RIACHAO"
2112001;"MA";"TASSO FRAGOSO"
2112100;"MA";"TIMBIRAS"
2112209;"MA";"TIMON"
2112233;"MA";"TRIZIDELA DO VALE"
2112274;"MA";"TUFILANDIA"
2112308;"MA";"TUNTUM"
2112407;"MA";"TURIACU"
2112456;"MA";"TURILANDIA"
2112506;"MA";"TUTOIA"
2112605;"MA";"URBANO SANTOS"
2112704;"MA";"VARGEM GRANDE"
2112803;"MA";"VIANA"
2112852;"MA";"VILA NOVA DOS MARTIRIOS"
2112902;"MA";"VITORIA DO MEARIM"
2113009;"MA";"VITORINO FREIRE"
2114007;"MA";"ZE DOCA"
5100102;"MT";"ACORIZAL"
5100201;"MT";"AGUA BOA"
5100250;"MT";"ALTA FLORESTA"
5100300;"MT";"ALTO ARAGUAIA"
5100359;"MT";"ALTO BOA VISTA"
5100409;"MT";"ALTO GARCAS"
5100508;"MT";"ALTO PARAGUAI"
5100607;"MT";"ALTO TAQUARI"
5100805;"MT";"APIACAS"
5101001;"MT";"ARAGUAIANA"
5101209;"MT";"ARAGUAINHA"
5101258;"MT";"ARAPUTANGA"
5101308;"MT";"ARENAPOLIS"
5101407;"MT";"ARIPUANA"
5101605;"MT";"BARAO DE MELGACO"
5101704;"MT";"BARRA DO BUGRES"
5101803;"MT";"BARRA DO GARCAS"
5101852;"MT";"BOM JESUS DO ARAGUAIA"
5101902;"MT";"BRASNORTE"
5102504;"MT";"CACERES"
5102603;"MT";"CAMPINAPOLIS"
5102637;"MT";"CAMPO NOVO DO PARECIS"
5102678;"MT";"CAMPO VERDE"
5102686;"MT";"CAMPOS DE JULIO"
5102694;"MT";"CANABRAVA DO NORTE"
5102702;"MT";"CANARANA"
5102793;"MT";"CARLINDA"
5102850;"MT";"CASTANHEIRA"
5103007;"MT";"CHAPADA DOS GUIMARAES"
5103056;"MT";"CLAUDIA"
5103106;"MT";"COCALINHO"
5103205;"MT";"COLIDER"
5103254;"MT";"COLNIZA"
5103304;"MT";"COMODORO"
5103353;"MT";"CONFRESA"
